fk_itemNumber,cardsOffered
3,86
15,757
17,648
29,408
41,423
46,131
56,578
59,246
78,163
79,500
83,144
102,718
112,278
117,699
119,188
128,718
136,123
137,468
140,646
143,699
144,36
151,231
155,571
177,86
179,341
181,387
194,110
195,347
201,629
202,542
205,175
218,212
219,341
221,206
225,123
227,268
229,145
231,411
234,751
238,664
240,163
242,36
247,245
255,403
256,585
262,27
267,241
268,282
272,657
278,500
280,599
298,212
299,144
308,706
309,734
310,80
315,313
322,202
324,278
344,583
348,160
355,211
358,194
359,140
363,282
371,266
372,433
373,42
407,249
417,177
420,724
424,733
426,718
427,242
440,595
451,147
456,681
461,142
465,606
471,583
473,751
477,140
482,606
483,121
486,369
489,493
490,646
491,757
492,497
493,258
495,674
498,165
507,258
508,745
512,166
514,314
524,610
534,169
535,86
536,310
538,10
540,259
541,745
543,610
549,121
560,495
564,177
568,10
574,245
585,63
589,121
594,317
596,513
610,648
617,706
620,268
624,369
626,709
628,72
630,318
634,717
643,163
644,234
646,415
647,693
652,369
659,405
667,657
672,242
676,225
679,681
680,313
683,242
702,110
705,147
707,334
717,108
722,21
732,497
738,433
745,206
748,438
754,212
762,693
777,83
784,178
787,401
793,282
796,145
798,166
803,669
810,595
811,236
813,83
821,423
823,526
831,509
836,757
840,569
855,547
856,359
859,314
860,646
866,745
881,449
887,145
901,646
916,17
917,443
918,433
936,699
938,214
939,468
948,339
962,580
965,142
981,21
984,751
1004,663
1008,464
1012,734
1014,147
1018,177
1020,475
1021,163
1022,207
1023,677
1025,142
1026,317
1031,17
1037,225
1049,497
1053,709
1057,405
1061,738
1067,512
1070,607
1083,160
1084,352
1099,165
1103,408
1104,241
1105,249
1106,607
1109,472
1113,318
1115,99
1117,461
1124,241
1129,188
1130,677
1146,421
1153,657
1156,493
1161,83
1163,13
1164,83
1165,178
1171,175
1173,177
1179,130
1180,739
1182,165
1189,145
1214,246
1226,310
1240,317
1247,631
1250,21
1253,310
1255,628
1260,10
1261,282
1267,570
1268,279
1271,693
1274,571
1279,352
1282,88
1283,646
1287,17
1289,310
1297,340
1301,145
1303,121
1305,236
1311,165
1313,479
1321,648
1325,259
1328,261
1339,88
1340,387
1341,242
1346,580
1349,449
1357,282
1358,411
1361,245
1364,122
1369,542
1381,291
1382,607
1387,580
1393,144
1397,488
1405,403
1407,27
1413,140
1415,578
1416,341
1429,214
1435,513
1441,188
1454,212
1460,199
1462,140
1474,242
1476,310
1477,485
1484,461
1487,339
1493,39
1497,575
1506,160
1508,687
1509,693
1514,246
1529,709
1540,606
1544,423
1552,628
1559,258
1561,663
1565,387
1566,411
1568,259
1570,401
1574,259
1581,702
1582,571
1589,663
1591,172
1598,757
1600,96
1611,21
1612,693
1614,663
1616,234
1621,745
1622,423
1623,369
1628,354
1633,21
1640,228
1641,286
1646,110
1652,121
1654,236
1668,286
1672,258
1678,258
1685,664
1692,404
1700,404
1703,242
1713,278
1721,96
1728,212
1730,488
1734,286
1738,585
1743,279
1744,86
1746,646
1751,460
1759,493
1765,177
1782,212
1786,408
1804,72
1807,228
1809,423
1813,27
1819,595
1826,650
1838,526
1839,432
1844,140
1845,512
1846,101
1849,677
1851,359
1868,169
1875,63
1880,352
1886,225
1888,140
1889,599
1890,401
1893,352
1896,282
1900,421
1904,706
1909,177
1913,78
1920,278
1924,206
1925,663
1939,583
1958,745
1972,610
1974,341
1985,160
1987,734
1991,702
1994,733
2000,472
2005,544
2006,85
2007,468
2008,145
2009,681
2010,739
2014,354
2018,432
2022,242
2023,646
2030,313
2032,291
2035,101
2038,207
2040,13
2043,548
2045,214
2056,548
2057,236
2060,606
2062,619
2065,548
2071,86
2072,231
2073,341
2075,488
2078,449
2081,85
2083,512
2084,194
2096,641
2097,576
2104,144
2115,401
2123,544
2125,724
2128,21
2137,681
2149,140
2151,63
2154,101
2156,228
2158,111
2160,145
2162,145
2164,52
2168,628
2170,140
2171,430
2173,580
2175,745
2178,411
2184,291
2191,144
2196,175
2208,212
2216,509
2221,169
2222,163
2223,245
2224,78
2225,140
2226,231
2229,412
2241,314
2242,64
2254,610
2256,112
2259,110
2261,177
2273,145
2275,461
2277,646
2282,83
2283,313
2284,493
2285,123
2286,13
2287,657
2293,623
2295,259
2297,687
2307,495
2311,310
2314,123
2319,576
2323,101
2325,522
2332,122
2333,580
2358,509
2362,111
2366,432
2373,214
2377,122
2391,110
2395,443
2396,72
2397,165
2398,631
2401,236
2403,169
2405,142
2410,236
2415,523
2418,403
2421,738
2423,278
2428,405
2432,214
2442,523
2445,272
2448,36
2451,78
2453,17
2458,405
2459,709
2462,80
2481,576
2490,475
2497,160
2503,738
2511,493
2515,641
2524,677
2536,569
2537,145
2549,438
2550,63
2565,340
2567,101
2573,21
2578,443
2598,669
2601,317
2602,610
2608,235
2612,27
2617,78
2618,664
2626,327
2635,561
2637,268
2643,585
2651,234
2657,268
2658,709
2659,317
2660,580
2661,443
2662,110
2668,369
2676,258
2677,17
2679,430
2681,745
2687,85
2690,101
2691,254
2692,341
2696,21
2698,36
2702,86
2707,169
2708,147
2710,664
2711,234
2715,334
2723,214
2726,548
2727,144
2730,405
2732,646
2737,461
2738,657
2756,619
2760,242
2762,542
2769,112
2771,207
2772,101
2777,258
2791,206
2795,702
2801,206
2811,663
2816,214
2818,85
2833,610
2834,699
2837,147
2849,449
2857,341
2861,352
2862,751
2864,302
2870,522
2873,493
2878,570
2885,121
2887,314
2897,734
2903,683
2905,646
2906,408
2908,266
2916,619
2920,313
2922,483
2940,693
2942,347
2943,291
2944,369
2945,468
2951,646
2956,646
2962,421
2963,411
2968,85
2979,214
2980,569
2984,241
2989,687
2991,96
2994,513
2998,646
3005,83
3006,169
3010,483
3013,172
3019,101
3023,352
3028,664
3044,234
3052,509
3071,83
3073,340
3077,523
3080,401
3082,36
3088,709
3090,42
3092,401
3095,718
3098,733
3103,314
3104,36
3111,461
3114,408
3115,236
3123,225
3124,468
3126,225
3128,411
3129,282
3136,160
3150,475
3155,354
3157,341
3164,547
3167,246
3174,587
3175,341
3177,206
3184,140
3186,13
3187,228
3188,641
3189,438
3190,544
3193,500
3194,291
3195,112
3199,664
3207,310
3210,291
3212,623
3221,131
3223,108
3229,607
3232,493
3237,663
3244,432
3259,364
3266,234
3268,310
3277,460
3281,717
3283,341
3291,423
3294,354
3304,99
3307,96
3308,468
3315,286
3317,145
3318,468
3320,683
3322,522
3323,547
3324,130
3327,664
3328,512
3334,488
3335,718
3345,317
3352,13
3355,561
3358,421
3360,561
3369,163
3370,513
3371,619
3372,261
3373,101
3375,488
3376,663
3385,318
3386,663
3396,78
3398,17
3400,483
3402,509
3421,657
3425,569
3430,231
3438,664
3439,585
3440,629
3448,228
3451,341
3454,393
3457,249
3458,751
3462,147
3479,110
3480,199
3481,339
