proposedItemNum,desiredItemNum,proposedDate,decisionDate,status
1,1215,2022-04-18,,Pending
3,632,2022-05-05,2022-06-06,Rejected
5,7067,2022-05-12,2022-05-16,Accepted
7,5136,2022-04-28,2022-05-06,Accepted
8,3579,2022-04-20,,Pending
9,5446,2022-04-18,2022-04-19,Rejected
9,7157,2022-04-19,2022-04-20,Accepted
13,4877,2022-04-21,,Pending
14,1529,2022-04-15,2022-06-13,Rejected
16,3300,2022-05-30,,Pending
16,7375,2022-04-18,2022-05-18,Rejected
17,249,2022-04-15,2022-04-25,Rejected
17,826,2022-05-02,2022-05-30,Accepted
24,2900,2022-05-02,2022-05-06,Rejected
32,6717,2022-04-28,2022-06-09,Accepted
33,3281,2022-04-15,2022-04-26,Rejected
34,6746,2022-05-20,2022-06-09,Accepted
38,1687,2022-04-25,2022-05-06,Accepted
41,7300,2022-04-18,2022-04-22,Accepted
42,859,2022-05-04,,Pending
43,1566,2022-04-29,2022-05-04,Rejected
45,1760,2022-05-09,,Pending
47,3156,2022-04-22,,Pending
48,1937,2022-04-20,2022-04-26,Rejected
50,6661,2022-05-03,2022-05-16,Accepted
51,2618,2022-04-26,2022-06-08,Accepted
51,5077,2022-04-19,2022-04-26,Rejected
55,437,2022-05-18,2022-06-10,Rejected
60,5196,2022-04-15,2022-05-12,Accepted
63,978,2022-04-18,2022-05-12,Accepted
64,1163,2022-04-27,,Pending
66,3217,2022-05-05,2022-05-13,Accepted
69,5725,2022-05-10,2022-06-01,Accepted
74,591,2022-04-19,2022-05-02,Rejected
81,4829,2022-04-25,,Pending
82,333,2022-05-17,,Pending
85,7209,2022-05-10,2022-05-11,Accepted
87,624,2022-05-12,,Pending
87,5462,2022-04-21,2022-04-22,Rejected
90,1271,2022-05-03,2022-06-03,Accepted
90,2185,2022-04-28,2022-05-03,Rejected
91,3834,2022-04-15,,Pending
92,672,2022-04-27,2022-05-23,Accepted
96,4064,2022-05-16,2022-05-17,Accepted
98,1008,2022-05-26,2022-06-02,Accepted
99,5752,2022-05-27,,Pending
101,4078,2022-04-15,,Pending
104,5330,2022-04-21,2022-05-16,Rejected
112,2456,2022-04-19,2022-05-26,Accepted
113,1764,2022-04-18,2022-05-24,Accepted
115,4195,2022-04-15,2022-05-03,Accepted
